GAGA-0001	Aame	Acrame
GAGA-0002	Acsu	Acrsub
GAGA-0003	Alob	Acrlob
GAGA-0004	Mbar	Mesbar
GAGA-0014	Aech	Acrech
GAGA-0020	Lfl2	Lasifl
GAGA-0024	Lfla	Lasfla
GAGA-0025	Mana	Megana
GAGA-0026	Mmen	Myrmen
GAGA-0028	Mrub	Myrrub
GAGA-0055	Gdes	Gigdes
GAGA-0063	Ngoe	Neogoe
GAGA-0074	Ohas	Odohas
GAGA-0080	Ppal	Phepal
GAGA-0082	Prpu	Pripun
GAGA-0083	Dind	Diaind
GAGA-0084	Apsu	Aphsub
GAGA-0085	Tcae	Tetcae
GAGA-0087	Msca	Myrsca
GAGA-0090	Plpu	Plapun
GAGA-0098	Hsub	Harsub
GAGA-0099	Lace	Lepace
GAGA-0103	Mgra	Myrgra
GAGA-0109	Sdeb	Stedeb
GAGA-0114	Maru	Manrub
GAGA-0165	Emoc	Eutmoc
GAGA-0177	Lnig	Lasnig
GAGA-0187	Ppyg	Plapyg
GAGA-0198	Palo	Parlon
GAGA-0199	Agra	Anogra
GAGA-0200	Cjap	Camjap
GAGA-0220	Aoct	Acroct
GAGA-0221	Cfel	Camfel
GAGA-0222	Trug	Temrug
GAGA-0223	Tlon	Temlon
GAGA-0224	Tame	Temame
GAGA-0229	Cmin	Cepmin
GAGA-0234	Trog	Typrog
GAGA-0245	Mpha	Monpha
GAGA-0246	Pruf	Pseruf
GAGA-0256	Afer	Acafer
GAGA-0266	Ecfj	Ectoja
GAGA-0275	Epro	Euppro
GAGA-0288	Tuni	Temuni
GAGA-0300	Ejav	Ectjav
GAGA-0301	Aris	Anoris
GAGA-0302	Ogla	Ochgla
GAGA-0303	Hven	Harven
GAGA-0304	Pros	Promon
GAGA-0306	Gbic	Stibic
GAGA-0307	Hopa	Hypopa
GAGA-0328	Cdiv	Cardiv
GAGA-0330	Crog	Crerog
GAGA-0331	Csp2	Caresp
GAGA-0332	Pssp	Pseusp
GAGA-0333	Tbic	Tetbic
GAGA-0334	Rqua	Rosqua
GAGA-0335	Mbic	Merbic
GAGA-0336	Osma	Oecsma
GAGA-0337	Tmel	Tapmel
GAGA-0338	Lrot	Leprot
GAGA-0340	Tcfm	Tapime
GAGA-0341	Nful	Nylful
GAGA-0343	Pspi	Psespi
GAGA-0346	Mmil	Megmil
GAGA-0350	Ffus	Formja
GAGA-0351	Drug	Diarug
GAGA-0352	Ldim	Lepdim
GAGA-0353	Omon	Odomon
GAGA-0354	Caen	Cataen
GAGA-0356	Aexa	Aphexa
GAGA-0358	Pnod	Phenod
