GCA_017607545.1	Acromyrmex_charruanus	Acrcha
GCA_017607565.1	Acromyrmex_heyeri	Acrhey
GCA_017607455.1	Acromyrmex_insinuator	Acrins
GCF_021464435.1	Cataglyphis_hispanica	Cathis
GCA_050437125.1	Cataglyphis_nigra	Catnig
GCA_020341155.1	Eciton_burchellii	Ecibur
GCA_964030505.2	Lasius_platythorax	Laspla
GCA_050084945.1	Pogonomyrmex_californicus	Pogcal
GCF_030449975.1	Polyergus_mexicanus	Polmex
GCA_017607525.1	Pseudoatta_argentina	Psearg
GCF_002006095.1	Pseudomyrmex_gracilis	Psegra
GCF_003070985.1	Temnothorax_curvispinosus	Temcur
