Species name	Subfamily	Clade	NCBI Accession number	GAGA accession number	Abbreviation	Number of queens	Castes	Pasassitism	Type of parassitism	Queen wings	Larval hemolymph feeding	Cocoon
Acromyrmex ameliae	Myrmicinae	Formicoids	GCA_048543475.1	GAGA-0001	Acrame	Poliginica	Polimorfiche	Presente	Inquilinismo	Alata	Assente	Assente
Acromyrmex subterraneus	Myrmicinae	Formicoids	GCA_048542405.1	GAGA-0002	Acrsub	Poliginica	Polimorfiche	Assente	Nessuno	Alata	Assente	Assente
Acromyrmex lobicornis	Myrmicinae	Formicoids	GCA_048181725.1	GAGA-0003	Acrlob	Facoltativa	Polimorfiche	Assente	Nessuno	Alata	Assente	Assente
Messor barbarus	Myrmicinae	Formicoids	GCA_048181735.1	GAGA-0004	Mesbar	Monoginica	Polimorfiche	Assente	Nessuno	Alata	Assente	Assente
Acromyrmex echinatior	Myrmicinae	Formicoids	GCA_024713525.2	GAGA-0014	Acrech	Facoltativa	Polimorfiche	Assente	Nessuno	Alata	Assente	Assente
Lasius flavus s1	Formicinae	Formicoids	GCA_048181785.1	GAGA-0020	Lasifl	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Lasius flavus s2	Formicinae	Formicoids	GCA_048543215.1	GAGA-0024	Lasfla	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Megaponera analis	Ponerinae	Poneroids	GCA_048543795.1	GAGA-0025	Megana	Monoginica	Polimorfiche	Assente	Nessuno	Ergatoide	Assente	Presente
Myrmecocystus cf. mendax	Formicinae	Formicoids	GCA_048544835.1	GAGA-0026	Myrmen	Facoltativa	Polimorfiche	Assente	Nessuno	Alata	Assente	Presente
Myrmica rubra	Myrmicinae	Formicoids	GCA_048181765.1	GAGA-0028	Myrrub	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Gigantiops destructor	Formicinae	Formicoids	GCA_048543115.1	GAGA-0055	Gigdes	Facoltativa	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Neoponera goeldii	Ponerinae	Poneroids	GCA_048543535.1	GAGA-0063	Neogoe	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Odontomachus hastatus	Ponerinae	Poneroids	GCA_048544115.1	GAGA-0074	Odohas	Facoltativa	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Pheidole pallidula	Myrmicinae	Formicoids	GCA_048543635.1	GAGA-0080	Phepal	Poliginica	Dimorfiche	Assente	Nessuno	Alata	Assente	Assente
Pristomyrmex punctatus	Myrmicinae	Formicoids	GCA_048543395.1	GAGA-0082	Pripun	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Diacamma cf. indicum	Ponerinae	Poneroids	GCA_048542865.1	GAGA-0083	Diaind	Gamergate	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Aphaenogaster subterranea	Myrmicinae	Formicoids	GCA_048181805.1	GAGA-0084	Aphsub	Monoginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Tetramorium caespitum	Myrmicinae	Formicoids	GCA_048542475.1	GAGA-0085	Tetcae	Monoginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Myrmica scabrinodis	Myrmicinae	Formicoids	GCA_048544725.1	GAGA-0087	Myrsca	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Platythyrea punctata	Ponerinae	Poneroids	GCA_048181825.1	GAGA-0090	Plapun	Monoginica/Gamergate	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Harpagoxenus sublaevis	Myrmicinae	Formicoids	GCA_048544055.1	GAGA-0098	Harsub	Monoginica	Monomorfiche	Presente	Dulosi	Ergatoide	Assente	Assente
Leptothorax acervorum	Myrmicinae	Formicoids	GCA_048544085.1	GAGA-0099	Lepace	Facoltativa	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Myrmecina graminicola	Myrmicinae	Formicoids	GCA_048542825.1	GAGA-0103	Myrgra	Facoltativa	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Stenamma debile	Myrmicinae	Formicoids	GCA_048544525.1	GAGA-0109	Stedeb	Facoltativa	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Manica rubida	Myrmicinae	Formicoids	GCA_048181895.1	GAGA-0114	Manrub	Poliginica	Monomorfiche	Assente	Nessuno	Brachiptera	Assente	Assente
Eutetramorium mocquerysi	Myrmicinae	Formicoids	GCA_048542615.1	GAGA-0165	Eutmoc	Monoginica	Monomorfiche	Assente	Nessuno	Ergatoide	Assente	Assente
Lasius niger	Formicinae	Formicoids	GCA_041902855.1	GAGA-0177	Lasnig	Monoginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Plagiolepis pygmaea	Formicinae	Formicoids	GCA_048181815.1	GAGA-0187	Plapyg	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Paratrechina longicornis	Formicinae	Formicoids	GCA_048543675.1	GAGA-0198	Parlon	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Assente
Anoplolepis gracilipes	Formicinae	Formicoids	GCA_048542685.1	GAGA-0199	Anogra	Poliginica	Monomorfiche	Assente	Nessuno	Alata	Assente	Presente
Camponotus japonicus	Formicinae	Formicoids	GCA_048543815.1	GAGA-0200	Camjap	Monoginica	Polimorfiche	Assente	Nessuno	Alata	Assente	Presente
Acromyrmex octospinosus	Myrmicinae	Formicoids	GCA_048542105.1	GAGA-0220	Acroct	Facoltativa	Polimorfiche	Assente	Nessuno	Alata	Assente	Assente
Camponotus fellah	Formicinae	Formicoids	GCA_048181845.1	GAGA-0221	Camfel	Monoginica	Polimorfiche	Assente	Nessuno	Alata	Assente	Presente
