"OG","Regression_Coefficient","P_value","Lambda","Bound_used","R_squared","R_squared_adj","n","Status","Contrast"
"OG0000001_01",0.0656599582085645,0.0209424757387717,0.708781164034494,"1e-05 to 1",0.0479497603245517,0.0424145845124851,174,"success","pgls5_castespolymorphic"
"OG0000001_02",0.0972650968553049,0.000635152696112584,1e-05,"1e-05 to 1",0.109625032866576,0.104448434220451,174,"success","pgls5_castespolymorphic"
"OG0000006_03",0.0994426040709017,0.0043908656200542,0.779498372500492,"1e-05 to 1",0.0947638828493723,0.0895008821682641,174,"success","pgls5_castespolymorphic"
"OG0000010_01",0.129105168640463,0.000466984922117497,0.705390732626667,"1e-05 to 1",0.136369663021076,0.131348556410734,174,"success","pgls5_castespolymorphic"
"OG0000017_00",0.0484941739979965,0.0440627429789289,1,"1e-05 to 1",0.0303591742606758,0.0247217275994006,174,"success","pgls5_castespolymorphic"
"OG0000020_00",0.0628578217234255,0.0477910902058309,0.909766477139914,"1e-05 to 1",0.0406043786067727,0.0350264970870445,174,"success","pgls5_castespolymorphic"
"OG0000029_02",0.0576644944635591,0.0246265056474795,0.906704108722822,"1e-05 to 1",0.0424202060756577,0.0368528816923767,174,"success","pgls5_castespolymorphic"
"OG0000039_00",0.121578319473161,0.000372224471061333,0.805674552885849,"1e-05 to 1",0.145581842451678,0.140614295024071,174,"success","pgls5_castespolymorphic"
"OG0000045_00",0.0865682978726264,0.00958485684093269,0.813474892795555,"1e-05 to 1",0.0652153839278555,0.0597805896483664,174,"success","pgls5_castespolymorphic"
"OG0000061_00",0.0702131838196427,0.0185983605690048,0.815254506999504,"1e-05 to 1",0.0358995347589033,0.0302942994958736,174,"success","pgls5_castespolymorphic"
"OG0000064_01",0.0639590636407721,0.0204367827479435,0.882692365338043,"1e-05 to 1",0.0397476340188666,0.0341647714259531,174,"success","pgls5_castespolymorphic"
"OG0000102_00",0.0588968374715778,0.00229313962664301,0.948364394634969,"1e-05 to 1",0.0828606821005126,0.0775284767638879,174,"success","pgls5_castespolymorphic"
