"motivo" "n_OG_sig" "median_R2_adj" "median_pval" "n_positive_coef" "n_negative_coef" "direction_dominant"
"MA2108.1" 3235 0.0299 0.02 3235 0 "polymorphic"
"MA0224.1" 2700 0.0359 0.0129 2683 17 "polymorphic"
"MA0231.1" 1761 0.0331 0.0166 1737 24 "polymorphic"
"MA0011.2" 1398 0.0321 0.0184 1375 23 "polymorphic"
"MA2261.1" 1329 0.0325 0.0175 1308 21 "polymorphic"
"MA0232.1" 1317 0.0319 0.0179 1262 55 "polymorphic"
"MA2304.1" 1225 0.0343 0.0147 1108 117 "polymorphic"
"MA0244.1" 1216 0.0338 0.0159 1107 109 "polymorphic"
"MA2221.1" 1163 0.0338 0.0168 1015 148 "polymorphic"
"MA0022.1" 1150 0.0341 0.015 1053 97 "polymorphic"
"MA0165.1" 1134 0.031 0.0198 1087 47 "polymorphic"
"MA2464.1" 1130 0.0324 0.0173 995 135 "polymorphic"
"MA0183.1" 1128 0.0326 0.0182 1056 72 "polymorphic"
"MA2107.1" 1120 0.0338 0.016 1045 75 "polymorphic"
"MA0187.1" 1114 0.0318 0.0181 1032 82 "polymorphic"
"MA0209.1" 1106 0.0325 0.018 1044 62 "polymorphic"
"MA0241.1" 1098 0.0322 0.0187 1035 63 "polymorphic"
"MA0174.1" 1096 0.0311 0.0185 1051 45 "polymorphic"
"MA0173.1" 1093 0.0321 0.0184 979 114 "polymorphic"
"MA0167.1" 1068 0.0319 0.019 996 72 "polymorphic"
"MA2188.1" 1060 0.0315 0.0187 924 136 "polymorphic"
"MA2297.1" 1047 0.029 0.0247 20 1027 "monomorphic"
"MA1839.2" 1034 0.0318 0.0187 891 143 "polymorphic"
"MA2312.1" 1034 0.0318 0.0187 891 143 "polymorphic"
"MA0177.1" 1031 0.0319 0.0189 967 64 "polymorphic"
"MA2272.1" 1000 0.0315 0.019 843 157 "polymorphic"
"MA0449.1" 998 0.0329 0.0172 873 125 "polymorphic"
"MA2310.1" 992 0.032 0.0197 780 212 "polymorphic"
"MA2307.1" 990 0.0339 0.0165 694 296 "polymorphic"
"MA2262.1" 980 0.0334 0.0163 840 140 "polymorphic"
"MA0189.2" 979 0.0311 0.0204 937 42 "polymorphic"
"MA0012.2" 975 0.0314 0.019 777 198 "polymorphic"
"MA0257.2" 964 0.0304 0.0206 913 51 "polymorphic"
"MA0229.1" 963 0.0318 0.0183 782 181 "polymorphic"
"MA0181.1" 944 0.0311 0.0196 866 78 "polymorphic"
"MA0218.1" 938 0.0307 0.0206 864 74 "polymorphic"
"MA0451.2" 936 0.0339 0.0166 695 241 "polymorphic"
"MA0530.2" 933 0.0324 0.018 652 281 "polymorphic"
"MA2231.1" 930 0.0339 0.0155 754 176 "polymorphic"
"MA2259.1" 929 0.0314 0.0194 770 159 "polymorphic"
"MA0457.2" 924 0.0289 0.0223 895 29 "polymorphic"
"MA0459.1" 924 0.0335 0.0171 729 195 "polymorphic"
"MA2196.1" 924 0.0314 0.021 695 229 "polymorphic"
"MA2633.1" 918 0.0317 0.0181 667 251 "polymorphic"
"MA0236.1" 913 0.0311 0.0205 866 47 "polymorphic"
"MA2216.1" 913 0.0311 0.0193 752 161 "polymorphic"
"MA2256.1" 913 0.0313 0.0189 756 157 "polymorphic"
"MA0197.3" 912 0.0319 0.0188 594 318 "polymorphic"
"MA2208.1" 904 0.0322 0.0179 670 234 "polymorphic"
"MA2218.1" 904 0.0312 0.0196 640 264 "polymorphic"
"MA0536.2" 903 0.0336 0.0155 769 134 "polymorphic"
"MA2306.1" 900 0.0295 0.0214 44 856 "monomorphic"
"MA0216.2" 899 0.032 0.0192 656 243 "polymorphic"
"MA2229.1" 898 0.0321 0.0177 792 106 "polymorphic"
"MA2290.1" 896 0.032 0.0183 720 176 "polymorphic"
"MA2194.1" 895 0.0331 0.0169 661 234 "polymorphic"
"MA2202.1" 895 0.0328 0.0169 703 192 "polymorphic"
"MA2251.1" 889 0.0334 0.0167 735 154 "polymorphic"
"MA0916.1" 888 0.0319 0.0191 744 144 "polymorphic"
"MA0202.1" 886 0.0323 0.0186 626 260 "polymorphic"
"MA0450.1" 881 0.0324 0.0175 672 209 "polymorphic"
"MA2314.1" 874 0.0331 0.0163 722 152 "polymorphic"
"MA2289.1" 870 0.0331 0.0185 629 241 "polymorphic"
"MA2278.1" 869 0.0329 0.0177 608 261 "polymorphic"
"MA0532.2" 864 0.0311 0.0199 562 302 "polymorphic"
"MA2630.1" 857 0.0322 0.0181 670 187 "polymorphic"
"MA2222.1" 856 0.0313 0.0203 688 168 "polymorphic"
"MA2282.1" 855 0.0318 0.0187 632 223 "polymorphic"
"MA2239.1" 854 0.0328 0.0169 651 203 "polymorphic"
"MA2273.1" 853 0.0314 0.0192 676 177 "polymorphic"
"MA2207.1" 851 0.0321 0.0184 634 217 "polymorphic"
"MA2232.1" 848 0.0311 0.0201 326 522 "monomorphic"
"MA0917.1" 844 0.0328 0.0169 669 175 "polymorphic"
"MA2219.1" 843 0.0314 0.0184 658 185 "polymorphic"
"MA2263.1" 843 0.0315 0.018 599 244 "polymorphic"
"MA2463.1" 843 0.03 0.0212 208 635 "monomorphic"
"MA0533.1" 842 0.0319 0.0186 680 162 "polymorphic"
"MA2465.1" 842 0.0326 0.0182 605 237 "polymorphic"
"MA2467.1" 842 0.032 0.0187 551 291 "polymorphic"
"MA0242.1" 839 0.0319 0.0191 585 254 "polymorphic"
"MA0251.1" 839 0.0323 0.0187 737 102 "polymorphic"
"MA2283.1" 839 0.0314 0.0184 525 314 "polymorphic"
"MA2212.1" 838 0.0314 0.0187 690 148 "polymorphic"
"MA1459.2" 836 0.0321 0.0182 655 181 "polymorphic"
"MA1458.2" 828 0.0305 0.0211 423 405 "polymorphic"
"MA0026.1" 827 0.0312 0.019 670 157 "polymorphic"
"MA0049.1" 826 0.0308 0.0205 465 361 "polymorphic"
"MA0445.1" 826 0.0314 0.0197 550 276 "polymorphic"
"MA2260.1" 826 0.0328 0.0182 671 155 "polymorphic"
"MA2234.1" 823 0.0318 0.0188 564 259 "polymorphic"
"MA0247.3" 821 0.0326 0.0177 586 235 "polymorphic"
"MA0085.2" 819 0.0322 0.0174 525 294 "polymorphic"
"MA2318.1" 819 0.0325 0.0182 641 178 "polymorphic"
"MA2198.1" 818 0.0308 0.0207 625 193 "polymorphic"
"MA2230.1" 812 0.0329 0.0164 681 131 "polymorphic"
"MA2201.1" 806 0.034 0.0157 632 174 "polymorphic"
"MA0249.3" 805 0.0299 0.0215 670 135 "polymorphic"
"MA2301.1" 805 0.033 0.0167 482 323 "polymorphic"
"MA2302.1" 805 0.0309 0.0216 421 384 "polymorphic"
"MA0222.2" 803 0.03 0.0222 109 694 "monomorphic"
"MA0228.1" 802 0.0299 0.0219 367 435 "monomorphic"
"MA2225.1" 802 0.0328 0.0173 522 280 "polymorphic"
"MA2237.1" 802 0.0323 0.0165 640 162 "polymorphic"
"MA2276.1" 798 0.0326 0.0176 521 277 "polymorphic"
"MA2281.1" 797 0.0321 0.0181 558 239 "polymorphic"
"MA0211.1" 794 0.0308 0.0219 409 385 "polymorphic"
"MA1461.2" 793 0.0315 0.0197 599 194 "polymorphic"
"MA2223.1" 793 0.0334 0.0163 625 168 "polymorphic"
"MA2242.1" 790 0.0323 0.0182 568 222 "polymorphic"
"MA0010.2" 785 0.0312 0.0196 463 322 "polymorphic"
"MA0182.1" 785 0.0297 0.0223 683 102 "polymorphic"
"MA2294.1" 785 0.0327 0.0173 559 226 "polymorphic"
"MA0221.1" 783 0.0309 0.0198 584 199 "polymorphic"
"MA0256.1" 783 0.0309 0.0198 584 199 "polymorphic"
"MA2271.1" 783 0.0313 0.02 512 271 "polymorphic"
"MA2305.1" 782 0.0315 0.0183 520 262 "polymorphic"
"MA2190.1" 779 0.0316 0.0201 343 436 "monomorphic"
"MA2319.1" 778 0.0304 0.0194 467 311 "polymorphic"
"MA0238.1" 777 0.0305 0.02 581 196 "polymorphic"
"MA0219.1" 776 0.0311 0.0201 593 183 "polymorphic"
"MA0180.1" 775 0.0313 0.0185 542 233 "polymorphic"
"MA0198.1" 774 0.0307 0.0216 484 290 "polymorphic"
"MA0443.2" 773 0.0321 0.0184 624 149 "polymorphic"
"MA2209.1" 773 0.0328 0.0185 572 201 "polymorphic"
"MA2220.1" 773 0.0304 0.0227 569 204 "polymorphic"
"MA2291.1" 773 0.0323 0.0187 492 281 "polymorphic"
"MA2315.1" 773 0.0338 0.0168 552 221 "polymorphic"
"MA1702.2" 772 0.03 0.0226 384 388 "monomorphic"
"MA2240.1" 771 0.0304 0.0201 610 161 "polymorphic"
"MA0086.3" 770 0.0315 0.0195 530 240 "polymorphic"
"MA2274.1" 770 0.0307 0.0194 432 338 "polymorphic"
"MA0534.1" 769 0.0323 0.0186 566 203 "polymorphic"
"MA2206.1" 769 0.0307 0.0198 568 201 "polymorphic"
"MA2268.1" 769 0.0297 0.0218 474 295 "polymorphic"
"MA0023.1" 766 0.0317 0.0188 579 187 "polymorphic"
"MA2254.1" 765 0.0316 0.0194 460 305 "polymorphic"
"MA0254.1" 763 0.0297 0.0226 66 697 "monomorphic"
"MA2284.1" 763 0.0301 0.0209 334 429 "monomorphic"
"MA2195.1" 762 0.0325 0.0177 508 254 "polymorphic"
"MA2205.1" 762 0.0318 0.0185 491 271 "polymorphic"
"MA0253.1" 761 0.0309 0.0193 526 235 "polymorphic"
"MA0013.1" 759 0.0307 0.0197 491 268 "polymorphic"
"MA0458.2" 757 0.0297 0.0213 459 298 "polymorphic"
"MA0188.1" 756 0.0313 0.0199 277 479 "monomorphic"
"MA2243.1" 755 0.0315 0.0192 530 225 "polymorphic"
"MA2296.1" 754 0.029 0.0231 511 243 "polymorphic"
"MA0126.2" 753 0.0321 0.0185 564 189 "polymorphic"
"MA0239.2" 753 0.0321 0.0185 564 189 "polymorphic"
"MA2191.1" 753 0.0329 0.0173 517 236 "polymorphic"
"MA2224.1" 753 0.0308 0.0193 616 137 "polymorphic"
"MA2257.1" 753 0.03 0.0225 283 470 "monomorphic"
"MA2267.1" 753 0.0297 0.0231 290 463 "monomorphic"
"MA2320.1" 752 0.0306 0.0219 392 360 "polymorphic"
"MA0243.2" 751 0.0316 0.0207 563 188 "polymorphic"
