"OG" "Regression_Coefficient" "P_value" "Lambda" "Bound_used" "R_squared" "R_squared_adj" "n" "Status" "Contrast" "motivo"
"OG0008428_00" -0.13182562983119 0.00551216634054064 1 "1e-05 to 1" 0.487072328111197 0.484090190483937 174 "success" "pgls5_castespolymorphic" "MA0010.2"
"OG0008745_00" -0.144084906385381 0.00565915372386971 1e-05 "1e-05 to 1" 0.551562099760633 0.548954902666218 174 "success" "pgls5_castespolymorphic" "MA0010.2"
"OG0003319_00" -0.237796888603087 0.00891411347797777 1e-05 "1e-05 to 1" 0.550778052889682 0.548166297383227 174 "success" "pgls5_castespolymorphic" "MA0010.2"
"OG0010023_00" -0.252424029728981 0.0377940735113456 1e-05 "1e-05 to 1" 0.482670750211346 0.479663022014901 174 "success" "pgls5_castespolymorphic" "MA0010.2"
"OG0009831_00" -0.141101819949994 0.0480466199924696 1e-05 "1e-05 to 1" 0.404586602286288 0.401124896485627 174 "success" "pgls5_castespolymorphic" "MA0010.2"
"OG0006414_00" 0.251178848995942 0.00020357453924591 0.877433304702408 "1e-05 to 1" 0.799769570940652 0.798605440539144 174 "success" "pgls5_castespolymorphic" "MA0011.2"
"OG0006340_00" -0.22115061603619 0.0123484555701578 1e-05 "1e-05 to 1" 0.519360181613995 0.51656576406524 174 "success" "pgls5_castespolymorphic" "MA0011.2"
"OG0002094_00" 0.273246194350259 0.0128901417509137 1e-05 "1e-05 to 1" 0.47703831882725 0.47399784393671 174 "success" "pgls5_castespolymorphic" "MA0011.2"
"OG0008547_00" 0.167052355663862 0.0189957154419549 1e-05 "1e-05 to 1" 0.43836902915383 0.435103732811701 174 "success" "pgls5_castespolymorphic" "MA0011.2"
"OG0005561_00" 0.166509571885933 0.0277573351682194 1e-05 "1e-05 to 1" 0.432912498862501 0.429615478507051 174 "success" "pgls5_castespolymorphic" "MA0011.2"
"OG0000303_00" 0.168768628956723 0.0491804346886204 1e-05 "1e-05 to 1" 0.571850020139054 0.569360776070095 174 "success" "pgls5_castespolymorphic" "MA0011.2"
