"motivo" "n_OG_sig" "median_R2_adj" "median_pval" "n_positive_coef" "n_negative_coef" "direction_dominant"
"MA2188.1" 4 0.5292 0.0093 4 0 "polymorphic"
"MA0170.1" 3 0.4169 0.0234 3 0 "polymorphic"
"MA0224.1" 3 0.5637 0.0023 3 0 "polymorphic"
"MA2288.1" 3 0.2627 0 3 0 "polymorphic"
"MA0168.1" 2 0.4234 0.0304 2 0 "polymorphic"
"MA0169.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0171.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0176.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0179.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0184.2" 2 0.6082 0.0035 2 0 "polymorphic"
"MA0187.1" 2 0.4339 0.0248 1 1 "polymorphic"
"MA0192.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0193.1" 2 0.4183 0.0097 2 0 "polymorphic"
"MA0195.2" 2 0.6082 0.0035 2 0 "polymorphic"
"MA0196.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0200.2" 2 0.6082 0.0035 2 0 "polymorphic"
"MA0226.1" 2 0.4856 0.0217 2 0 "polymorphic"
"MA0245.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0250.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0252.2" 2 0.4051 0.0353 1 1 "polymorphic"
"MA0257.2" 2 0.4447 0.0412 2 0 "polymorphic"
"MA0444.1" 2 0.4763 0.0235 2 0 "polymorphic"
"MA0447.1" 2 0.4426 0.0029 2 0 "polymorphic"
"MA0451.2" 2 0.2835 0 2 0 "polymorphic"
"MA0532.2" 2 0.3544 0.0314 2 0 "polymorphic"
"MA1702.2" 2 0.3784 0.0244 2 0 "polymorphic"
"MA2227.1" 2 0.4679 0.0203 1 1 "polymorphic"
"MA2236.1" 2 0.2606 0.018 1 1 "polymorphic"
"MA2244.1" 2 0.4066 0.0161 2 0 "polymorphic"
"MA2295.1" 2 0.3872 0.0139 2 0 "polymorphic"
"MA2305.1" 2 0.5289 0.0078 2 0 "polymorphic"
"MA2632.1" 2 0.5501 0 2 0 "polymorphic"
"MA2633.1" 2 0.5691 0 2 0 "polymorphic"
"MA0023.1" 1 0.5501 0.0137 1 0 "polymorphic"
"MA0026.1" 1 0.5996 0.003 1 0 "polymorphic"
"MA0049.1" 1 0.3195 0.0138 1 0 "polymorphic"
"MA0094.3" 1 0.3144 0.0147 1 0 "polymorphic"
"MA0126.2" 1 0.6246 1e-04 1 0 "polymorphic"
"MA0166.1" 1 0.42 4e-04 1 0 "polymorphic"
"MA0167.1" 1 0.4833 0.025 1 0 "polymorphic"
"MA0172.1" 1 0.3144 0.0147 1 0 "polymorphic"
"MA0173.1" 1 0.5845 2e-04 1 0 "polymorphic"
"MA0177.1" 1 0.4833 0.025 1 0 "polymorphic"
"MA0178.1" 1 0.3144 0.0147 1 0 "polymorphic"
"MA0180.1" 1 0.2826 0 0 1 "monomorphic"
"MA0181.1" 1 0.5618 0.0123 1 0 "polymorphic"
"MA0186.1" 1 0.42 4e-04 1 0 "polymorphic"
"MA0189.2" 1 0.4945 0.0227 1 0 "polymorphic"
"MA0191.1" 1 0.3144 0.0147 1 0 "polymorphic"
"MA0194.1" 1 0.3144 0.0147 1 0 "polymorphic"
"MA0197.3" 1 0.2995 0.0178 1 0 "polymorphic"
"MA0202.1" 1 0.327 0.0125 1 0 "polymorphic"
"MA0203.1" 1 0.42 4e-04 1 0 "polymorphic"
"MA0204.1" 1 0.6383 1e-04 1 0 "polymorphic"
"MA0205.3" 1 0.4481 0.0475 1 0 "polymorphic"
"MA0206.1" 1 0.2924 0.0195 1 0 "polymorphic"
"MA0208.1" 1 0.3144 0.0147 1 0 "polymorphic"
"MA0209.1" 1 0.4833 0.025 1 0 "polymorphic"
"MA0211.1" 1 0.5033 9e-04 1 0 "polymorphic"
"MA0213.1" 1 0.4886 0.0354 1 0 "polymorphic"
"MA0215.1" 1 0.42 4e-04 1 0 "polymorphic"
"MA0216.2" 1 0.2521 0 1 0 "polymorphic"
"MA0222.2" 1 0.4226 0.0214 1 0 "polymorphic"
"MA0225.1" 1 0.42 4e-04 1 0 "polymorphic"
"MA0231.1" 1 0.5289 0.0167 1 0 "polymorphic"
"MA0232.1" 1 0.6168 0.0119 1 0 "polymorphic"
"MA0239.2" 1 0.6246 1e-04 1 0 "polymorphic"
"MA0240.1" 1 0.3144 0.0147 1 0 "polymorphic"
