"OG"	"Regression_Coefficient"	"P_value"	"Lambda"	"Bound_used"	"R_squared"	"R_squared_adj"	"n"	"Status"	"Contrast"
"OG0000000_00"	0.00700999445891799	0.739018043546443	0.927790462628187	"1e-05 to 1"	0.000695626393349728	-0.00511428275552617	174	"success"	"pgls5_castespolymorphic"
"OG0000001_00"	0.0135983193423363	0.332808398913415	1e-05	"1e-05 to 1"	0.00967232486448077	0.00391460582299519	174	"success"	"pgls5_castespolymorphic"
"OG0000001_01"	0.00393424791919623	0.84403306534317	0.73275452514766	"1e-05 to 1"	0.000356666113026678	-0.00545521373515334	174	"success"	"pgls5_castespolymorphic"
"OG0000001_02"	0.00199475830738139	0.892459055752468	1e-05	"1e-05 to 1"	0.000181844129860755	-0.0056310521251981	174	"success"	"pgls5_castespolymorphic"
"OG0000002_00"	-0.00763960355357767	0.660463959051286	0.58701587776232	"1e-05 to 1"	0.00217793242903276	-0.00362335866149621	174	"success"	"pgls5_castespolymorphic"
"OG0000003_00"	0.0760204092911955	0.008945705013927	0.581418187911985	"1e-05 to 1"	0.0564980678034434	0.0510125914534634	174	"success"	"pgls5_castespolymorphic"
"OG0000005_01"	-0.051980088051838	0.183135448843404	1	"1e-05 to 1"	0.0176509947795226	0.011939663353822	174	"success"	"pgls5_castespolymorphic"
"OG0000006_00"	-0.0114836672152043	0.398038013796263	1e-05	"1e-05 to 1"	0.00745098592120094	0.00168035211841733	174	"success"	"pgls5_castespolymorphic"
"OG0000006_01"	0.0170662538763437	0.123660749990375	1	"1e-05 to 1"	0.0208488393624482	0.0151561000564159	174	"success"	"pgls5_castespolymorphic"
"OG0000006_02"	-0.00818445223526529	0.589509408337985	0.769168925820043	"1e-05 to 1"	0.00235437756457383	-0.00344588768214393	174	"success"	"pgls5_castespolymorphic"
"OG0000006_03"	-0.00837825349713498	0.639241719163869	0.344048224832468	"1e-05 to 1"	0.00269245241025733	-0.00310584728503183	174	"success"	"pgls5_castespolymorphic"
"OG0000007_00"	0.0012640389376753	0.923720272202206	1e-05	"1e-05 to 1"	9.8044983605848e-05	-0.00571533847579175	174	"success"	"pgls5_castespolymorphic"
"OG0000008_00"	-0.0106275788303499	0.607104456712314	0.118869002431624	"1e-05 to 1"	0.00232689379223431	-0.00347353124385741	174	"success"	"pgls5_castespolymorphic"
