"OG","Regression_Coefficient","P_value","Lambda","Bound_used","R_squared","R_squared_adj","n","Status","Contrast"
"OG0000000",-0.0135266137940206,0.678961442217722,0.962821329209255,"1e-05 to 1",0.00106669794229991,-0.00474105381384948,174,"success","pgls5_castespolymorphic"
"OG0000001",0.0111996566955426,0.685050786448496,0.822715297214863,"1e-05 to 1",0.00105728457237616,-0.00475052191266823,174,"success","pgls5_castespolymorphic"
"OG0000002",0.0219248905449661,0.681217204318008,0.860528831474105,"1e-05 to 1",0.00106415251320437,-0.00474361404195145,174,"success","pgls5_castespolymorphic"
"OG0000003",-0.0035669895322001,0.937988382307323,0.757417759683783,"1e-05 to 1",3.84282628879404e-05,-0.00577530180535124,174,"success","pgls5_castespolymorphic"
"OG0000005",0.0436857493173792,0.245277959716322,1,"1e-05 to 1",0.00904964366772554,0.00328830438672389,174,"success","pgls5_castespolymorphic"
"OG0000006",0.0137141185458072,0.693841266365067,1e-05,"1e-05 to 1",0.00109450575129432,-0.00471308433154705,174,"success","pgls5_castespolymorphic"
"OG0000007",0.00459963669192024,0.792046697332683,0.656482781707712,"1e-05 to 1",0.000549357122546023,-0.00526140242906714,174,"success","pgls5_castespolymorphic"
"OG0000008",-0.119605975947228,0.0158237529392888,1,"1e-05 to 1",0.0377016724154166,0.0321069146969016,174,"success","pgls5_castespolymorphic"
"OG0000009",0.0367580751098703,0.631984000898621,1,"1e-05 to 1",0.00609754652743036,0.000319043890961934,174,"success","pgls5_castespolymorphic"
"OG0000010",0.0507416616864838,0.0906209463994549,1e-05,"1e-05 to 1",0.0218675281835813,0.0161807114869742,174,"success","pgls5_castespolymorphic"
"OG0000011",-0.0579045005175275,0.414865688687218,0.892484130825998,"1e-05 to 1",0.00589195683419668,0.000112258908814056,174,"success","pgls5_castespolymorphic"
"OG0000012",0.0106989735517562,0.82336512983541,0.890444065634932,"1e-05 to 1",0.000308475272900815,-0.00550368475458218,174,"success","pgls5_castespolymorphic"
"OG0000014",-0.0459096073552825,0.291485715873003,1e-05,"1e-05 to 1",0.0091164909475514,0.00335554031352547,174,"success","pgls5_castespolymorphic"
"OG0000015",-0.0419881548989035,0.555948851170153,0.907757095500718,"1e-05 to 1",0.00305052250400012,-0.0027456953884184,174,"success","pgls5_castespolymorphic"
"OG0000016",0.0112456713960499,0.724066483718595,1,"1e-05 to 1",0.00407731259425318,-0.00171293558833852,174,"success","pgls5_castespolymorphic"
"OG0000017",0.076382853540472,0.110787574866864,0.916598764397772,"1e-05 to 1",0.0156223699533507,0.00989924419726551,174,"success","pgls5_castespolymorphic"
"OG0000018",0.00365770340439464,0.92198569666594,0.609697307516104,"1e-05 to 1",7.64173714093619e-05,-0.00573709182991977,174,"success","pgls5_castespolymorphic"
"OG0000019",0.0202407514505562,0.758500191475586,0.834340999156285,"1e-05 to 1",0.000697361093844699,-0.00511253796956335,174,"success","pgls5_castespolymorphic"
"OG0000020",-0.0194410760759081,0.451372476470534,1e-05,"1e-05 to 1",0.00376167372522493,-0.00203040956707023,174,"success","pgls5_castespolymorphic"
