R_squared	Analysis_Type	Target_Group	Source_File	GO.ID	Term	Annotated	Significant	Expected	Classic_Fisher
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	6	0.19	2e-06
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	5	0.39	2.3e-05
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	2	0.06	0.0017
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	2	0.02	0.00011
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	2	0.03	0.00027
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0000932	P-body	20	1	0.02	0.01808
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0030312	external encapsulating structure	85	3	0.08	0.03043
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	3	0.08	0.03043
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0036464	cytoplasmic ribonucleoprotein granule	34	1	0.03	0.03057
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0035770	ribonucleoprotein granule	35	1	0.03	0.03146
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	2	0.05	0.0013
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	1	1	0	0.0019
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0015439	ABC-type heme transporter activity	2	1	0	0.0038
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004709	MAP kinase kinase kinase activity	3	1	0.01	0.0057
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004089	carbonate dehydratase activity	10	1	0.02	0.0188
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004867	serine-type endopeptidase inhibitor activity	13	1	0.02	0.0243
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0030414	peptidase inhibitor activity	19	1	0.04	0.0354
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004866	endopeptidase inhibitor activity	19	1	0.04	0.0354
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0061135	endopeptidase regulator activity	21	1	0.04	0.039
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0061134	peptidase regulator activity	22	1	0.04	0.0409
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0016835	carbon-oxygen lyase activity	26	1	0.05	0.0481
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0016836	hydro-lyase activity	26	1	0.05	0.0481
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0020037	heme binding	26	1	0.05	0.0481
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0046906	tetrapyrrole binding	27	1	0.05	0.0499
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0032501	multicellular organismal process	488	2	0.19	0.0086
0.25	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0022008	neurogenesis	121	1	0.05	0.0455
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0015886	heme transport	5	1	0.01	0.0057
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0046856	phosphatidylinositol dephosphorylation	13	1	0.01	0.0147
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0046839	phospholipid dephosphorylation	16	1	0.02	0.0181
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0000165	MAPK cascade	29	1	0.03	0.0326
0.25	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0030258	lipid modification	41	1	0.05	0.0459
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	35	0.68	7.3e-18
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	12	1.44	9e-09
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008554	P-type sodium transporter activity	4	1	0.02	0.023
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008556	P-type potassium transmembrane transporter activity	4	1	0.02	0.023
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0005391	P-type sodium:potassium-exchanging transporter activity	4	1	0.02	0.023
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0015662	P-type ion transporter activity	7	1	0.04	0.039
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0140358	P-type transmembrane transporter activity	8	1	0.05	0.045
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	34	0.6	1.6e-17
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0005615	extracellular space	180	11	1.28	2.6e-08
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	1	1	0.01	0.0069
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0015439	ABC-type heme transporter activity	2	1	0.01	0.0138
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004709	MAP kinase kinase kinase activity	3	1	0.02	0.0207
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0005391	P-type sodium:potassium-exchanging transporter activity	4	1	0.03	0.0275
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008554	P-type sodium transporter activity	4	1	0.03	0.0275
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008556	P-type potassium transmembrane transporter activity	4	1	0.03	0.0275
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0015232	heme transmembrane transporter activity	5	1	0.03	0.0342
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0015662	P-type ion transporter activity	7	1	0.05	0.0476
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0	0.0023
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0.01	0.0061
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0.01	0.0061
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0.01	0.0061
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0019915	lipid storage	9	1	0.01	0.0068
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0.01	0.0106
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0099587	inorganic ion import across plasma membrane	21	1	0.02	0.0159
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0098659	inorganic cation import across plasma membrane	21	1	0.02	0.0159
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0098739	import across plasma membrane	32	1	0.02	0.0241
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1902600	proton transmembrane transport	33	1	0.03	0.0249
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0098657	import into cell	34	1	0.03	0.0256
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0071805	potassium ion transmembrane transport	44	1	0.03	0.0331
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0006813	potassium ion transport	47	1	0.04	0.0353
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0032501	multicellular organismal process	488	2	0.37	0.0454
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0031638	zymogen activation	1	1	0	0.0017
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0.01	0.0051
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0015886	heme transport	5	1	0.01	0.0085
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0.01	0.0136
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0.01	0.0136
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0.01	0.0136
