Orthogroup	Most_Annotated_Protein	Species
OG0000000_00	LOCUS5764	Laspla
OG0000001_00	G6Z77_0000889	Acrhey
OG0000001_01	ACFW04_010942	Catnig
OG0000001_02	G6Z76_0009030	Acrcha
OG0000002_00	LOCUS2679	Laspla
OG0000003_00	G6Z76_0007872	Acrcha
OG0000005_00	ACFW04_013121	Catnig
OG0000005_01	ACFW04_007917	Catnig
OG0000006_00	LOCUS8641	Laspla
OG0000006_01	LOCUS8640	Laspla
OG0000006_02	ACFW04_002600	Catnig
OG0000006_03	ACFW04_002598	Catnig
OG0000007_00	ACFW04_005806	Catnig
OG0000007_01	G6Z76_0002186	Acrcha
OG0000008_00	ACFW04_007527	Catnig
OG0000010_00	Juvenile_hormone_acid_O-methyltransferase_g02698_i1	Acrame
OG0000010_01	Juvenile_hormone_acid_O-methyltransferase_g15076_i1	Acafer
OG0000011_00	G6Z76_0003751	Acrcha
OG0000012_00	Peptidase_A1_Aspartic_protease_domain_g08910_i1	Acafer
OG0000017_00	LOCUS8423	Laspla
OG0000019_00	LOCUS13515	Laspla
OG0000020_00	LOCUS13821	Laspla
OG0000020_01	LOCUS13825-2	Laspla
OG0000024_00	LOCUS6375-2	Laspla
OG0000025_00	LOCUS11810	Laspla
OG0000025_01	LOCUS546	Laspla
OG0000026_00	G6Z76_0006873	Acrcha
OG0000027_00	acid_lipase_g08671_i11	Ectoja
OG0000029_00	LOCUS10895	Laspla
OG0000029_01	LOCUS10896	Laspla
OG0000029_02	LOCUS8821	Laspla
OG0000029_03	LOCUS564	Laspla
OG0000033_00	LOCUS11801	Laspla
OG0000034_00	LOCUS11105	Laspla
OG0000034_01	LOCUS11107	Laspla
OG0000035_00	G6Z76_0005405	Acrcha
OG0000035_01	LOCUS2159	Laspla
OG0000036_00	Cytochrome_P450_g08525_i1	Acrame
OG0000036_01	Cytochrome_P450_g05369_i1	Acafer
OG0000037_00	G6Z77_0004368	Acrhey
OG0000038_00	Cytochrome_P450_g13054_i1	Acroct
OG0000039_00	Carboxylesterase_type_B_g09185_i1	Caresp
OG0000044_00	LOCUS7130	Laspla
OG0000044_01	LOCUS7222	Laspla
OG0000045_00	LOCUS6761	Laspla
OG0000049_00	Peptidase_S1_S6_chymotrypsin_Hap_g12992_i2	Acafer
OG0000050_00	LOCUS658	Laspla
OG0000051_00	LOCUS4595	Laspla
OG0000051_01	LOCUS8353	Laspla
OG0000051_02	LOCUS12880	Laspla
OG0000052_00	LOCUS8638	Laspla
OG0000053_00	LOCUS9918	Laspla
OG0000055_00	G6Z75_0012433	Acrins
OG0000055_01	LOCUS2986	Laspla
OG0000056_00	LOCUS12326	Laspla
OG0000058_00	LOCUS10050	Laspla
OG0000059_00	Cytochrome_P450_g17855_i10	Sermay
OG0000060_00	G6Z77_0000083	Acrhey
OG0000061_00	LOCUS221	Laspla
OG0000062_00	LOCUS6745	Laspla
